id,desc,accession,query_cov,seq_ident
pdb|6A37|A,"Chain A, Putative flavin-binding monooxygenase [Acinetobacter calcoaceticus]",6A37_A,0.982,0.967
ref|WP_096902667.1|,NAD(P)/FAD-dependent oxidoreductase [Acinetobacter sp. YT-02],WP_096902667,0.972,0.708
ref|WP_087013222.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Acinetobacter],WP_087013222,0.972,0.701
gb|AAG10021.1|,cyclohexanone monooxygenase [Acinetobacter sp. SE19],AAG10021,0.972,0.701
gb|MBC68972.1|,cyclohexanone monooxygenase [Acinetobacter sp.],MBC68972,0.972,0.699
ref|WP_125299349.1|,NAD(P)/FAD-dependent oxidoreductase [Acinetobacter junii],WP_125299349,0.972,0.699
ref|WP_153561670.1|,NAD(P)-binding domain-containing protein [Acinetobacter baumannii],WP_153561670,0.972,0.699
gb|EXB04767.1|,"cyclohexanone 1,2-monooxygenase [Acinetobacter baumannii 1295743]",EXB04767,0.972,0.699
sp|P12015.2|,"RecName: Full=Cyclohexanone 1,2-monooxygenase [Acinetobacter sp.]",P12015,0.972,0.692
ref|WP_131327645.1|,NAD(P)/FAD-dependent oxidoreductase [Acinetobacter sp. ANC 4173],WP_131327645,0.994,0.697
ref|WP_131271515.1|,NAD(P)/FAD-dependent oxidoreductase [Acinetobacter sp. ANC 4281],WP_131271515,0.987,0.685
ref|WP_086210543.1|,NAD(P)/FAD-dependent oxidoreductase [Acinetobacter sp. ANC 4204],WP_086210543,0.994,0.694
ref|WP_086193167.1|,NAD(P)/FAD-dependent oxidoreductase [Acinetobacter sp. ANC 4655],WP_086193167,0.987,0.681
ref|WP_067723474.1|,NAD(P)/FAD-dependent oxidoreductase [Acinetobacter sp. SFC],WP_067723474,0.987,0.681
ref|WP_088376758.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Pseudomonas],WP_088376758,0.972,0.648
ref|WP_057006141.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Pseudomonas],WP_057006141,0.972,0.649
ref|WP_086920788.1|,NAD(P)/FAD-dependent oxidoreductase [Variovorax sp. JS1663],WP_086920788,0.98,0.637
ref|WP_058396194.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas syringae],WP_058396194,0.978,0.613
ref|WP_114654519.1|,NAD(P)/FAD-dependent oxidoreductase [Acidovorax sp. BoFeN1],WP_114654519,0.98,0.625
gb|AQR58512.1|,cyclohexanone monooxygenase [Acidovorax sp.],AQR58512,0.98,0.625
ref|WP_150787650.1|,FAD-dependent oxidoreductase [Pseudomonas fluorescens],WP_150787650,1.009,0.611
ref|WP_048730882.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. KG01],WP_048730882,0.978,0.605
ref|WP_163983681.1|,FAD-dependent oxidoreductase [Pseudomonas sp. OIL-1],WP_163983681,0.97,0.609
ref|WP_060765983.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Pseudomonas],WP_060765983,0.978,0.607
ref|WP_122539083.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas viridiflava],WP_122539083,0.978,0.607
ref|WP_108574417.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Pseudomonas],WP_108574417,0.978,0.607
ref|WP_133076215.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. SXM-1],WP_133076215,0.978,0.609
ref|WP_093432423.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. ok266],WP_093432423,0.978,0.607
ref|WP_122840386.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas viridiflava],WP_122840386,0.978,0.605
ref|WP_105521482.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Pseudomonas],WP_105521482,0.978,0.607
ref|WP_122598232.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas viridiflava],WP_122598232,0.978,0.609
ref|WP_045058461.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. ES3-33],WP_045058461,0.978,0.605
ref|WP_122721645.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas viridiflava],WP_122721645,0.978,0.607
ref|WP_007910345.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Pseudomonas],WP_007910345,0.978,0.607
ref|WP_125953050.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Comamonadaceae],WP_125953050,0.98,0.624
ref|WP_116628041.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. OV508],WP_116628041,0.978,0.607
tpg|HAU57077.1|,NAD(P)/FAD-dependent oxidoreductase [Comamonadaceae bacterium],HAU57077,0.98,0.625
ref|WP_122511027.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas viridiflava],WP_122511027,0.978,0.605
ref|WP_134101491.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. OV341],WP_134101491,0.978,0.605
ref|WP_087778440.1|,NAD(P)/FAD-dependent oxidoreductase [Pigmentiphaga sp. NML080357],WP_087778440,0.98,0.622
ref|WP_103408664.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas syringae group genomosp. 3],WP_103408664,0.978,0.605
ref|WP_122486241.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas viridiflava],WP_122486241,0.978,0.605
ref|WP_047602773.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas putida],WP_047602773,0.978,0.607
ref|WP_056854429.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. Root562],WP_056854429,0.978,0.603
ref|WP_065836614.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas syringae],WP_065836614,0.978,0.605
ref|WP_090902259.1|,NAD(P)/FAD-dependent oxidoreductase [Azotobacter beijerinckii],WP_090902259,0.967,0.605
ref|WP_014861961.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas putida],WP_014861961,0.978,0.607
ref|WP_166628012.1|,FAD-dependent oxidoreductase [Streptomyces sp. GC420],WP_166628012,0.959,0.614
ref|WP_067399860.1|,NAD(P)/FAD-dependent oxidoreductase [Erythrobacteraceae bacterium CCH12-C2],WP_067399860,0.98,0.622
ref|WP_020294079.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. CFII64],WP_020294079,0.978,0.603
ref|WP_108228764.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Pseudomonas],WP_108228764,0.97,0.6
ref|WP_058822697.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas syringae],WP_058822697,0.978,0.603
ref|WP_007970866.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. GM33],WP_007970866,0.978,0.6
ref|WP_121783468.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas putida],WP_121783468,0.978,0.605
ref|WP_057397876.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas fluorescens],WP_057397876,0.978,0.603
ref|WP_061203295.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas putida],WP_061203295,0.978,0.605
ref|WP_150644880.1|,FAD-dependent oxidoreductase [Pseudomonas fluorescens],WP_150644880,0.97,0.596
ref|WP_003411027.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas syringae],WP_003411027,0.978,0.603
ref|WP_119713637.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas putida],WP_119713637,0.978,0.605
ref|WP_144809970.1|,NAD(P)-binding domain-containing protein [Halomonas titanicae],WP_144809970,0.993,0.622
ref|WP_145145438.1|,FAD-dependent oxidoreductase [Pseudomonas duriflava],WP_145145438,0.97,0.6
ref|WP_119083422.1|,NAD(P)/FAD-dependent oxidoreductase [Altererythrobacter sp. B11],WP_119083422,0.985,0.613
ref|WP_072894694.1|,NAD(P)/FAD-dependent oxidoreductase [Sphingobium sp. YR657],WP_072894694,0.985,0.613
ref|WP_110753652.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. OV529],WP_110753652,0.978,0.6
ref|WP_019689178.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas fluorescens],WP_019689178,0.978,0.6
ref|WP_122395995.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas savastanoi],WP_122395995,0.978,0.596
gb|RZL29053.1|,NAD(P)/FAD-dependent oxidoreductase [Sphingomonas sp.],RZL29053,0.969,0.609
ref|WP_053160509.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. P1.8],WP_053160509,0.958,0.611
ref|WP_093084615.1|,NAD(P)/FAD-dependent oxidoreductase [Sphingobium sp. AP50],WP_093084615,0.985,0.609
ref|WP_132910682.1|,NAD(P)/FAD-dependent oxidoreductase [Sphingomonas sp. BK235],WP_132910682,0.976,0.596
ref|WP_144000649.1|,FAD-dependent oxidoreductase [Pseudomonas putida],WP_144000649,0.935,0.601
ref|WP_090348239.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas oryzae],WP_090348239,0.935,0.601
ref|WP_125882669.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas stutzeri],WP_125882669,0.937,0.601
gb|OGB13546.1|,cyclohexanone monooxygenase [Burkholderiales bacterium RIFCSPLOWO2_02_FULL_67_64],OGB13546,0.967,0.605
ref|WP_093016622.1|,NAD(P)/FAD-dependent oxidoreductase [Sphingobium sp. YR768],WP_093016622,0.982,0.609
ref|WP_128121809.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas zhaodongensis],WP_128121809,0.97,0.62
gb|MQA01264.1|,SidA/IucD/PvdA family monooxygenase [Streptosporangiales bacterium],MQA01264,0.978,0.609
ref|WP_108094858.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Pseudomonas],WP_108094858,0.945,0.598
ref|WP_064122759.1|,NAD(P)/FAD-dependent oxidoreductase [Halotalea alkalilenta],WP_064122759,0.978,0.598
ref|WP_008013396.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudomonas sp. GM50],WP_008013396,0.958,0.601
ref|WP_090609708.1|,NAD(P)/FAD-dependent oxidoreductase [Mycobacterium lentiflavum],WP_090609708,0.959,0.605
ref|WP_114968021.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodoferax sp. OTU1],WP_114968021,0.967,0.596
ref|WP_027349086.1|,NAD(P)/FAD-dependent oxidoreductase [Halotalea alkalilenta],WP_027349086,0.978,0.59
ref|WP_065132601.1|,NAD(P)/FAD-dependent oxidoreductase [Mycobacterium gordonae],WP_065132601,0.959,0.601
ref|WP_104175867.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. Y81],WP_104175867,0.978,0.589
